time,lat,lon,ssp126_tg_mean_p10,ssp126_tg_mean_p50,ssp126_tg_mean_p90,ssp245_tg_mean_p10,ssp245_tg_mean_p50,ssp245_tg_mean_p90,ssp585_tg_mean_p10,ssp585_tg_mean_p50,ssp585_tg_mean_p90
1950-01-01,43.79166794,-79.54166412,-9.87,-5.58,-1.35,-9.88,-5.6,-1.36,-9.86,-5.64,-1.34
1950-02-01,43.79166794,-79.54166412,-8.08,-5.33,-2.02,-8.18,-5.33,-2.02,-8.2,-5.38,-2.09
1950-03-01,43.79166794,-79.54166412,-3.57,-1.03,2,-3.55,-1.04,1.99,-3.52,-1.03,1.96
1950-04-01,43.79166794,-79.54166412,3.19,6.31,8.99,3.19,6.33,9.01,3.17,6.31,9.01
1950-05-01,43.79166794,-79.54166412,10.91,12.21,14.19,10.89,12.21,14.12,10.92,12.23,14.14
1950-06-01,43.79166794,-79.54166412,15.83,17.51,19.47,15.81,17.51,19.48,15.82,17.5,19.45
1950-07-01,43.79166794,-79.54166412,19.32,20.5,22.27,19.33,20.5,22.29,19.32,20.51,22.29
1950-08-01,43.79166794,-79.54166412,17.89,19.49,21.38,17.87,19.46,21.37,17.92,19.47,21.39
1950-09-01,43.79166794,-79.54166412,13.41,15.55,17.69,13.47,15.57,17.69,13.44,15.59,17.73
1950-10-01,43.79166794,-79.54166412,7.77,9.14,10.69,7.75,9.15,10.75,7.76,9.12,10.72
1950-11-01,43.79166794,-79.54166412,1.32,3.35,5.74,1.29,3.26,5.72,1.34,3.32,5.63
1950-12-01,43.79166794,-79.54166412,-6.4,-3.19,0.09,-6.39,-3.19,0.08,-6.37,-3.21,0.11
1951-01-01,43.79166794,-79.54166412,-8.8,-5.06,-2.11,-8.8,-5.02,-2,-8.78,-4.99,-2.16
1951-02-01,43.79166794,-79.54166412,-8.63,-5.72,-3.04,-8.57,-5.72,-3.06,-8.57,-5.72,-3.06
1951-03-01,43.79166794,-79.54166412,-4.02,-0.49,3.39,-3.92,-0.53,3.43,-3.92,-0.48,3.4
1951-04-01,43.79166794,-79.54166412,4.1,6.6,8.77,3.93,6.61,8.81,4.02,6.56,8.86
1951-05-01,43.79166794,-79.54166412,10.63,12.86,14.92,10.53,12.94,15,10.48,12.93,15.03
1951-06-01,43.79166794,-79.54166412,15.99,18.23,19.84,15.97,18.22,19.83,15.91,18.23,19.85
1951-07-01,43.79166794,-79.54166412,19.12,20.58,22.23,19.16,20.62,22.26,19.12,20.61,22.25
1951-08-01,43.79166794,-79.54166412,17.55,19.64,21.94,17.57,19.63,21.94,17.59,19.6,21.94
1951-09-01,43.79166794,-79.54166412,13.45,15.33,17.37,13.4,15.34,17.35,13.43,15.32,17.32
1951-10-01,43.79166794,-79.54166412,6.51,9.32,11.69,6.53,9.31,11.68,6.52,9.34,11.71
1951-11-01,43.79166794,-79.54166412,1.11,3.72,6.05,1.19,3.71,6.08,1.16,3.71,6.08
1951-12-01,43.79166794,-79.54166412,-6.38,-4.28,-0.57,-6.37,-4.35,-0.55,-6.4,-4.37,-0.55
1952-01-01,43.79166794,-79.54166412,-10.16,-7.31,-3.34,-10.14,-7.25,-3.37,-10.1,-7.32,-3.4
1952-02-01,43.79166794,-79.54166412,-9.77,-5.47,-1.84,-9.79,-5.5,-1.81,-9.81,-5.46,-1.77
1952-03-01,43.79166794,-79.54166412,-4.04,-1.69,1.37,-4.07,-1.73,1.4,-4,-1.72,1.41
1952-04-01,43.79166794,-79.54166412,3.98,5.8,8.11,3.96,5.81,8.14,3.96,5.76,8.11
1952-05-01,43.79166794,-79.54166412,10.94,13.46,15.67,10.9,13.41,15.63,10.93,13.52,15.52
1952-06-01,43.79166794,-79.54166412,16.37,17.6,19.75,16.34,17.57,19.79,16.36,17.59,19.79
1952-07-01,43.79166794,-79.54166412,19.69,20.76,21.87,19.65,20.77,21.89,19.66,20.76,21.86
1952-08-01,43.79166794,-79.54166412,19.1,19.8,21.05,19.09,19.79,21.08,19.07,19.81,21.06
1952-09-01,43.79166794,-79.54166412,12.94,15.34,16.97,12.94,15.32,16.94,12.92,15.34,16.98
1952-10-01,43.79166794,-79.54166412,7.28,9.2,11.73,7.28,9.21,11.75,7.32,9.22,11.73
1952-11-01,43.79166794,-79.54166412,0.76,2.87,5.16,0.78,2.85,5.15,0.78,2.85,5.15
1952-12-01,43.79166794,-79.54166412,-6.81,-3.26,-0.89,-6.8,-3.29,-1.01,-6.76,-3.29,-1.02
1953-01-01,43.79166794,-79.54166412,-10.22,-7.42,-1.78,-10.19,-7.43,-1.74,-10.2,-7.4,-1.74
1953-02-01,43.79166794,-79.54166412,-8.63,-5.19,-2.27,-8.63,-5.22,-2.25,-8.62,-5.22,-2.22
1953-03-01,43.79166794,-79.54166412,-3.76,-1.3,1.83,-3.73,-1.29,1.79,-3.74,-1.29,1.82
1953-04-01,43.79166794,-79.54166412,3.38,5.98,8.21,3.41,6.01,8.2,3.4,5.94,8.15
1953-05-01,43.79166794,-79.54166412,9.95,11.89,13.82,9.97,11.96,13.76,9.98,11.94,13.8
1953-06-01,43.79166794,-79.54166412,15.91,17.71,19.92,15.91,17.7,19.91,15.94,17.76,19.9
1953-07-01,43.79166794,-79.54166412,19.22,20.68,21.67,19.2,20.7,21.68,19.21,20.68,21.67
1953-08-01,43.79166794,-79.54166412,18.56,19.73,20.54,18.57,19.76,20.54,18.6,19.78,20.52
1953-09-01,43.79166794,-79.54166412,13.95,15.52,17.49,13.95,15.53,17.52,14.01,15.54,17.45
1953-10-01,43.79166794,-79.54166412,6.94,8.86,10.9,6.89,8.97,10.85,6.89,8.97,10.84
1953-11-01,43.79166794,-79.54166412,1.94,3.7,5.12,1.95,3.75,5.11,1.95,3.73,5.08
1953-12-01,43.79166794,-79.54166412,-5.97,-2.84,-0.52,-5.99,-2.85,-0.53,-5.97,-2.84,-0.53
1954-01-01,43.79166794,-79.54166412,-11.44,-5.53,-2.85,-11.42,-5.52,-2.85,-11.44,-5.54,-2.84
1954-02-01,43.79166794,-79.54166412,-8.72,-5.28,-2.46,-8.67,-5.33,-2.5,-8.7,-5.3,-2.45
1954-03-01,43.79166794,-79.54166412,-3.78,-1.48,1.71,-3.76,-1.43,1.72,-3.74,-1.44,1.77
1954-04-01,43.79166794,-79.54166412,3.37,5.88,8.19,3.37,5.87,8.19,3.39,5.87,8.2
1954-05-01,43.79166794,-79.54166412,10.54,12.76,14.66,10.56,12.76,14.69,10.51,12.76,14.66
1954-06-01,43.79166794,-79.54166412,16.1,17.05,19.18,16.08,17.08,19.2,16.07,17.09,19.19
1954-07-01,43.79166794,-79.54166412,18.59,20.08,22.19,18.61,20.08,22.23,18.6,20.04,22.17
1954-08-01,43.79166794,-79.54166412,18.59,19.56,21.46,18.6,19.52,21.5,18.59,19.57,21.48
1954-09-01,43.79166794,-79.54166412,13.78,15.08,16.99,13.82,15.11,16.98,13.84,15.03,17.02
1954-10-01,43.79166794,-79.54166412,7.32,8.99,10.46,7.29,9.09,10.41,7.22,8.98,10.4
1954-11-01,43.79166794,-79.54166412,0.54,3.39,4.93,0.49,3.37,4.97,0.53,3.38,4.9
1954-12-01,43.79166794,-79.54166412,-7.84,-3.42,-1.22,-7.79,-3.43,-1.24,-7.81,-3.39,-1.23
1955-01-01,43.79166794,-79.54166412,-10.42,-5.37,-2.16,-10.44,-5.37,-2.1,-10.45,-5.38,-2.21
1955-02-01,43.79166794,-79.54166412,-8.09,-5.4,-1.82,-8.11,-5.39,-1.82,-8.13,-5.41,-1.84
1955-03-01,43.79166794,-79.54166412,-4.77,-1.01,2.49,-4.8,-0.97,2.49,-4.73,-1.04,2.49
1955-04-01,43.79166794,-79.54166412,4.46,6.24,10.53,4.46,6.26,10.56,4.44,6.27,10.58
1955-05-01,43.79166794,-79.54166412,10.32,13.61,14.99,10.3,13.67,15.04,10.29,13.61,15.03
1955-06-01,43.79166794,-79.54166412,15.59,17.48,19.43,15.64,17.53,19.43,15.67,17.5,19.42
1955-07-01,43.79166794,-79.54166412,19.13,20.28,21.28,19.11,20.31,21.33,19.14,20.28,21.31
1955-08-01,43.79166794,-79.54166412,17.72,20.01,22.15,17.72,19.96,22.16,17.73,19.98,22.17
1955-09-01,43.79166794,-79.54166412,13.56,16.14,17.34,13.58,16.2,17.39,13.55,16.15,17.44
1955-10-01,43.79166794,-79.54166412,8.24,9.21,11.27,8.27,9.18,11.27,8.25,9.23,11.33
1955-11-01,43.79166794,-79.54166412,0.71,2.41,5.06,0.73,2.45,5.05,0.7,2.44,5.02
1955-12-01,43.79166794,-79.54166412,-7.52,-2.85,-1.28,-7.51,-2.95,-1.31,-7.53,-2.88,-1.22
1956-01-01,43.79166794,-79.54166412,-9.56,-7.41,-3.88,-9.58,-7.51,-3.89,-9.59,-7.37,-3.9
1956-02-01,43.79166794,-79.54166412,-10.42,-5.53,-2.42,-10.43,-5.52,-2.4,-10.42,-5.53,-2.4
1956-03-01,43.79166794,-79.54166412,-5.22,-0.84,2.86,-5.27,-0.89,2.86,-5.33,-0.83,2.86
1956-04-01,43.79166794,-79.54166412,3.85,6.13,9.9,3.87,6.05,9.87,3.85,6.11,9.93
1956-05-01,43.79166794,-79.54166412,10.5,11.91,14.07,10.51,11.9,14.09,10.49,11.93,14.08
1956-06-01,43.79166794,-79.54166412,16.14,17.66,19.79,16.11,17.61,19.8,16.12,17.63,19.78
1956-07-01,43.79166794,-79.54166412,19.33,20.98,22.37,19.34,20.99,22.34,19.34,21,22.36
1956-08-01,43.79166794,-79.54166412,18.46,19.7,21.29,18.41,19.68,21.34,18.47,19.69,21.32
1956-09-01,43.79166794,-79.54166412,12.78,14.57,16.63,12.78,14.57,16.64,12.8,14.59,16.66
1956-10-01,43.79166794,-79.54166412,6.74,8.88,11.44,6.76,8.9,11.4,6.73,8.89,11.42
1956-11-01,43.79166794,-79.54166412,1.26,3.43,5.51,1.28,3.43,5.52,1.25,3.41,5.52
1956-12-01,43.79166794,-79.54166412,-6.35,-2.72,-0.17,-6.39,-2.73,-0.22,-6.34,-2.74,-0.2
1957-01-01,43.79166794,-79.54166412,-9.64,-6.48,-2.39,-9.56,-6.48,-2.44,-9.57,-6.47,-2.47
1957-02-01,43.79166794,-79.54166412,-8.92,-4.65,-0.65,-8.89,-4.62,-0.63,-8.95,-4.6,-0.68
1957-03-01,43.79166794,-79.54166412,-3.42,-1.7,1.25,-3.53,-1.68,1.24,-3.53,-1.73,1.25
1957-04-01,43.79166794,-79.54166412,3.34,6.13,8.25,3.34,6.14,8.29,3.38,6.19,8.33
1957-05-01,43.79166794,-79.54166412,10.72,11.94,15.1,10.7,11.97,15.13,10.73,11.89,15.14
1957-06-01,43.79166794,-79.54166412,16.21,18.23,20.64,16.21,18.23,20.69,16.2,18.19,20.69
