time,lat,lon,ssp126_prcptot_p10,ssp126_prcptot_p50,ssp126_prcptot_p90,ssp245_prcptot_p10,ssp245_prcptot_p50,ssp245_prcptot_p90,ssp585_prcptot_p10,ssp585_prcptot_p50,ssp585_prcptot_p90
1950-01-01,43.79166794,-79.54166412,52.71,82.15,107.34,51.87,82.76,106.94,52.49,83.32,108
1950-02-01,43.79166794,-79.54166412,37.48,57.31,85.36,36.33,57.6,82.31,36.32,59.65,81.87
1950-03-01,43.79166794,-79.54166412,26.62,67.04,104.72,28.79,68,102.54,26.71,66.76,104.95
1950-04-01,43.79166794,-79.54166412,33.8,58.94,134.6,33.82,58.73,134.55,33.86,58.2,135.03
1950-05-01,43.79166794,-79.54166412,36.75,75.38,104.21,35.94,75.6,107.13,35.72,75.47,103.64
1950-06-01,43.79166794,-79.54166412,47.08,92.69,117.54,47.06,89.56,119.67,47.23,93.23,118.95
1950-07-01,43.79166794,-79.54166412,44.96,72.31,113.53,45,73.2,116.62,45.42,71.95,112.73
1950-08-01,43.79166794,-79.54166412,51.64,89.18,122,51.63,87.7,124.74,51.09,89.94,121.23
1950-09-01,43.79166794,-79.54166412,30.34,59.7,97.67,30.48,59.25,100.69,30.99,59.26,97.27
1950-10-01,43.79166794,-79.54166412,27.54,54.19,104.88,28.12,53.2,101.37,28.3,53.45,104.21
1950-11-01,43.79166794,-79.54166412,45.86,87.3,129.76,46.69,88.07,124.26,46.34,86.99,130.83
1950-12-01,43.79166794,-79.54166412,55.87,74.87,101.98,55.65,78.27,103.14,55.62,77.08,101.47
1951-01-01,43.79166794,-79.54166412,42.97,66.08,106.53,42.41,66.89,101.49,42.38,65.91,105.07
1951-02-01,43.79166794,-79.54166412,37.9,57.45,97.13,37.1,58.04,97.38,37.77,58.16,96.45
1951-03-01,43.79166794,-79.54166412,37.59,65.8,113.12,37.99,64.55,109.51,38.66,64.33,114.7
1951-04-01,43.79166794,-79.54166412,37.91,81.35,134.82,38.12,81.01,129.05,38.1,80.9,133.54
1951-05-01,43.79166794,-79.54166412,41.41,76.15,131.49,42.19,78.42,131.21,40.61,77.06,138.7
1951-06-01,43.79166794,-79.54166412,34.91,56.47,94.59,34.08,57.64,88.68,33.69,56.71,95.87
1951-07-01,43.79166794,-79.54166412,41.61,77.27,117.38,42.46,76.69,117.31,41.4,77.83,117.47
1951-08-01,43.79166794,-79.54166412,34.41,77.89,116.35,35.29,79.55,115.95,34.69,78.69,114.38
1951-09-01,43.79166794,-79.54166412,30.47,66.91,97.32,31.76,65.88,96.2,31.48,67.76,97.25
1951-10-01,43.79166794,-79.54166412,34.66,65.23,109.1,35.2,68.2,102.16,35.68,66.85,104.98
1951-11-01,43.79166794,-79.54166412,54.02,82.02,129.18,54.92,79.66,127.93,54.16,82.4,125.98
1951-12-01,43.79166794,-79.54166412,42.14,67.67,92.51,42.22,66.5,91.88,41.41,65.56,94.43
1952-01-01,43.79166794,-79.54166412,48.4,59.72,91.5,47.35,60.29,93.71,45.51,60.92,95.98
1952-02-01,43.79166794,-79.54166412,34.04,51.84,95.9,34.27,53.86,95.16,33.82,53.1,97.13
1952-03-01,43.79166794,-79.54166412,42.51,79.22,107.17,40.95,78.65,102.43,40.5,76.56,105.16
1952-04-01,43.79166794,-79.54166412,41.06,66.78,116.08,43.15,67.13,117.03,41.93,68.14,117.36
1952-05-01,43.79166794,-79.54166412,42.21,77.91,113.57,42.99,80.18,114.51,42.43,77.95,109.97
1952-06-01,43.79166794,-79.54166412,47.34,80,101.67,49.6,78.86,98.77,48.08,84.31,100.15
1952-07-01,43.79166794,-79.54166412,34.35,66.87,110.02,35.47,67.21,114.11,34.2,70.84,111.99
1952-08-01,43.79166794,-79.54166412,33.6,57.68,113.32,33.69,57.17,112.87,34.53,58.05,112.58
1952-09-01,43.79166794,-79.54166412,34.18,73.94,103.4,35.27,76.88,105.17,35.79,75.28,102.49
1952-10-01,43.79166794,-79.54166412,33.1,70.12,109.97,32.89,71.6,105.5,34.06,70.69,105.71
1952-11-01,43.79166794,-79.54166412,51.82,80.9,115.35,52.03,81.68,116.34,53.39,81.32,114.81
1952-12-01,43.79166794,-79.54166412,45.42,62.76,114.6,46.95,62.37,114.09,45.68,62.67,117.01
1953-01-01,43.79166794,-79.54166412,46.22,63.06,88.07,45.45,63.42,88,45.14,63.49,89.69
1953-02-01,43.79166794,-79.54166412,32.94,52.06,88.29,33.65,51.49,86.04,32.63,51.12,88.02
1953-03-01,43.79166794,-79.54166412,43.08,64.86,104.06,43.22,64.73,102.33,41.84,63.28,103.69
1953-04-01,43.79166794,-79.54166412,46.65,65.69,111.21,46.62,65.2,107.02,46.41,64.86,108.09
1953-05-01,43.79166794,-79.54166412,33.27,55.48,86.75,33.86,56.02,85.39,34.68,56.5,86.06
1953-06-01,43.79166794,-79.54166412,36.02,74.76,111.55,37.54,73.44,119.14,36.02,71.35,117.5
1953-07-01,43.79166794,-79.54166412,38.36,66.71,103.68,38.44,64.81,101.53,37.29,64.76,103.14
1953-08-01,43.79166794,-79.54166412,56.35,82.1,115.2,56.67,82.06,118.22,58.31,82.9,114.77
1953-09-01,43.79166794,-79.54166412,29.28,76.63,118.26,29.81,76.72,118.8,28.6,75.83,118.51
1953-10-01,43.79166794,-79.54166412,39.84,58.17,93.62,40.33,57.89,93.39,39.04,57.78,92.07
1953-11-01,43.79166794,-79.54166412,49.59,85.3,113.6,50.98,85.69,115.84,50.68,83.56,116.25
1953-12-01,43.79166794,-79.54166412,45.1,67.22,100.55,45.27,67.92,100.71,44.25,66.95,100.94
1954-01-01,43.79166794,-79.54166412,33.4,69.93,106.85,33.91,67.13,108,34.49,69.77,108.7
1954-02-01,43.79166794,-79.54166412,37.24,63.12,98.03,36.91,62.48,95.15,37.28,63.62,96.82
1954-03-01,43.79166794,-79.54166412,28.7,58.86,87.76,28.82,57.91,85.6,29.39,59.61,85.12
1954-04-01,43.79166794,-79.54166412,44.83,66.58,99.12,45.63,66.53,98.36,46.17,67.24,101.34
1954-05-01,43.79166794,-79.54166412,34.6,61.14,100.88,34.85,62.44,100.72,35.54,61.98,99.68
1954-06-01,43.79166794,-79.54166412,44.53,70.97,112.35,45.48,72.07,107.91,44.34,72.27,110.1
1954-07-01,43.79166794,-79.54166412,39,76.53,128.14,38.59,75,123.39,40.22,75.98,124.49
1954-08-01,43.79166794,-79.54166412,37.33,56.32,98.96,35.92,56.49,99.23,36.82,55.63,100.03
1954-09-01,43.79166794,-79.54166412,44.54,82.99,138.77,42.74,81.68,140.83,44.75,81.87,134.43
1954-10-01,43.79166794,-79.54166412,44.38,80.15,136.36,45.59,83.45,134.74,45.12,82.74,134.52
1954-11-01,43.79166794,-79.54166412,59.11,88.1,113.52,59.53,86.64,111.55,59.84,87.41,112.54
