date,temps,precipitation
January 2014,-4.54,73.57
February 2014,-4.13,55.35
March 2014,-0.05,70.35
April 2014,6.59,76.11
May 2014,13.95,60.89
June 2014,19.16,64.49
July 2014,21.89,66.75
August 2014,20.99,85.19
September 2014,16.11,66.55
October 2014,10.41,70.46
November 2014,4.46,77.35
December 2014,-0.72,75.15
January 2015,-5.01,77.98
February 2015,-2.96,60.74
March 2015,1.57,80.83
April 2015,8.5,74.95
May 2015,13.16,70.69
June 2015,19.6,76.1
July 2015,22.29,62.29
August 2015,21.15,75.34
September 2015,16.09,94.29
October 2015,10.53,52.78
November 2015,4.87,82.23
December 2015,-1.04,68.87
January 2016,-3.6,69.87
February 2016,-3.88,65.44
March 2016,2.17,79.78
April 2016,8.39,84.16
May 2016,13.45,61.34
June 2016,19.26,77.97
July 2016,21.86,58.77
August 2016,21.65,76.01
September 2016,16.97,68.42
October 2016,10.74,69.9
November 2016,5.22,96.39
December 2016,-1.09,82.38
January 2017,-5.21,74.01
February 2017,-3.49,63.47
March 2017,1.75,76.27
April 2017,8.25,83.7
May 2017,13.72,68.64
June 2017,19.53,74.03
July 2017,21.84,71.48
August 2017,21.28,101.97
September 2017,17.03,79.25
October 2017,11.38,65.99
November 2017,5.37,88.5
December 2017,-1.33,74.02
January 2018,-3.79,78.94
February 2018,-4.57,63.71
March 2018,1.11,89.6
April 2018,8.6,77.75
May 2018,13.41,71.97
June 2018,19.83,60.66
July 2018,22.29,59.45
August 2018,21.06,72.21
September 2018,17.26,66.51
October 2018,10.91,79.1
November 2018,5.22,90.21
December 2018,-1.81,67.98
January 2019,-3.38,85.57
February 2019,-4.14,56.15
March 2019,0.81,72.06
April 2019,7.13,96.29
May 2019,12.83,52.6
June 2019,20.05,61.76
July 2019,22.08,73.77
August 2019,21.72,68.39
September 2019,17.22,57.41
October 2019,10.8,66.89
November 2019,5.82,98.52
December 2019,0.01,76.83
January 2020,-3.22,68.61
February 2020,-3.09,68.63
March 2020,1.71,67.23
April 2020,8.2,72.44
May 2020,13.55,70.57
June 2020,19.34,79.49
July 2020,22.32,62.51
August 2020,21.9,77.82
September 2020,17.35,55.81
October 2020,10.72,71.27
November 2020,4.59,98.77
December 2020,-0.21,78.61
January 2021,-3.68,68.99
February 2021,-2.62,57.69
March 2021,1.26,72.19
April 2021,8.91,81.66
May 2021,13.44,67.54
June 2021,19.32,61.95
July 2021,22.12,68.12
August 2021,21.46,83.73
September 2021,16.48,78.88
October 2021,10.62,57.78
November 2021,5.06,84.96
December 2021,-0.54,85.75
January 2022,-1.93,75.39
February 2022,-2.87,58.86
March 2022,2.03,82.17
April 2022,8.16,75.36
May 2022,14.49,58.74
June 2022,18.89,79.2
July 2022,22.16,63.72
August 2022,21.49,81.77
September 2022,17.31,67.23
October 2022,10.68,68.63
November 2022,4.86,75.4
December 2022,-0.64,62.05
January 2023,-3.89,66.57
February 2023,-3.42,76.27
March 2023,1.72,82.46
April 2023,8.9,76.37
May 2023,14.23,64.2
June 2023,20.27,80.65
July 2023,22.09,67.35
August 2023,22.27,69.15
September 2023,17.21,59.39
October 2023,12.03,74.84
November 2023,6.42,81.63
December 2023,-1.07,72.98
January 2024,-4,75.09
February 2024,-4.62,51.69
March 2024,0.27,77.15
April 2024,7.82,86.48
May 2024,14.46,64.59
June 2024,20.07,79.73
July 2024,22.17,66.23
August 2024,21.57,71.51
September 2024,17.66,62.59
October 2024,11.99,61.86
November 2024,5.57,92.31
December 2024,-0.86,81.35
