time,temps,precipitation
2014-01-01,-4.54,73.57
2014-02-01,-4.13,55.35
2014-03-01,-0.05,70.35
2014-04-01,6.59,76.11
2014-05-01,13.95,60.89
2014-06-01,19.16,64.49
2014-07-01,21.89,66.75
2014-08-01,20.99,85.19
2014-09-01,16.11,66.55
2014-10-01,10.41,70.46
2014-11-01,4.46,77.35
2014-12-01,-0.72,75.15
2015-01-01,-5.01,77.98
2015-02-01,-2.96,60.74
2015-03-01,1.57,80.83
2015-04-01,8.5,74.95
2015-05-01,13.16,70.69
2015-06-01,19.6,76.1
2015-07-01,22.29,62.29
2015-08-01,21.15,75.34
2015-09-01,16.09,94.29
2015-10-01,10.53,52.78
2015-11-01,4.87,82.23
2015-12-01,-1.04,68.87
2016-01-01,-3.6,69.87
2016-02-01,-3.88,65.44
2016-03-01,2.17,79.78
2016-04-01,8.39,84.16
2016-05-01,13.45,61.34
2016-06-01,19.26,77.97
2016-07-01,21.86,58.77
2016-08-01,21.65,76.01
2016-09-01,16.97,68.42
2016-10-01,10.74,69.9
2016-11-01,5.22,96.39
2016-12-01,-1.09,82.38
2017-01-01,-5.21,74.01
2017-02-01,-3.49,63.47
2017-03-01,1.75,76.27
2017-04-01,8.25,83.7
2017-05-01,13.72,68.64
2017-06-01,19.53,74.03
2017-07-01,21.84,71.48
2017-08-01,21.28,101.97
2017-09-01,17.03,79.25
2017-10-01,11.38,65.99
2017-11-01,5.37,88.5
2017-12-01,-1.33,74.02
2018-01-01,-3.79,78.94
2018-02-01,-4.57,63.71
2018-03-01,1.11,89.6
2018-04-01,8.6,77.75
2018-05-01,13.41,71.97
2018-06-01,19.83,60.66
2018-07-01,22.29,59.45
2018-08-01,21.06,72.21
2018-09-01,17.26,66.51
2018-10-01,10.91,79.1
2018-11-01,5.22,90.21
2018-12-01,-1.81,67.98
2019-01-01,-3.38,85.57
2019-02-01,-4.14,56.15
2019-03-01,0.81,72.06
2019-04-01,7.13,96.29
2019-05-01,12.83,52.6
2019-06-01,20.05,61.76
2019-07-01,22.08,73.77
2019-08-01,21.72,68.39
2019-09-01,17.22,57.41
2019-10-01,10.8,66.89
2019-11-01,5.82,98.52
2019-12-01,0.01,76.83
2020-01-01,-3.22,68.61
2020-02-01,-3.09,68.63
2020-03-01,1.71,67.23
2020-04-01,8.2,72.44
2020-05-01,13.55,70.57
2020-06-01,19.34,79.49
2020-07-01,22.32,62.51
2020-08-01,21.9,77.82
2020-09-01,17.35,55.81
2020-10-01,10.72,71.27
2020-11-01,4.59,98.77
2020-12-01,-0.21,78.61
2021-01-01,-3.68,68.99
2021-02-01,-2.62,57.69
2021-03-01,1.26,72.19
2021-04-01,8.91,81.66
2021-05-01,13.44,67.54
2021-06-01,19.32,61.95
2021-07-01,22.12,68.12
2021-08-01,21.46,83.73
2021-09-01,16.48,78.88
2021-10-01,10.62,57.78
2021-11-01,5.06,84.96
2021-12-01,-0.54,85.75
2022-01-01,-1.93,75.39
2022-02-01,-2.87,58.86
2022-03-01,2.03,82.17
2022-04-01,8.16,75.36
2022-05-01,14.49,58.74
2022-06-01,18.89,79.2
2022-07-01,22.16,63.72
2022-08-01,21.49,81.77
2022-09-01,17.31,67.23
2022-10-01,10.68,68.63
2022-11-01,4.86,75.4
2022-12-01,-0.64,62.05
2023-01-01,-3.89,66.57
2023-02-01,-3.42,76.27
2023-03-01,1.72,82.46
2023-04-01,8.9,76.37
2023-05-01,14.23,64.2
2023-06-01,20.27,80.65
2023-07-01,22.09,67.35
2023-08-01,22.27,69.15
2023-09-01,17.21,59.39
2023-10-01,12.03,74.84
2023-11-01,6.42,81.63
2023-12-01,-1.07,72.98
2024-01-01,-4,75.09
2024-02-01,-4.62,51.69
2024-03-01,0.27,77.15
2024-04-01,7.82,86.48
2024-05-01,14.46,64.59
2024-06-01,20.07,79.73
2024-07-01,22.17,66.23
2024-08-01,21.57,71.51
2024-09-01,17.66,62.59
2024-10-01,11.99,61.86
2024-11-01,5.57,92.31
2024-12-01,-0.86,81.35
